"Timestamp"," Formatted Timestamp","Network In - Data - Delta (Bytes)#Device","Network In - Data (Bytes)#Device","Network Out - WiFi - Delta (Bytes)#Device","Network Out - WiFi (Bytes)#Device","CPU User (%)#Device","Memory Free (KB)#Device","CPU Kernel (%)#Device","Memory Cache (KB)#Device","Memory Used (KB)#Device","Network In - WiFi - Delta (Bytes)#Device","Network In - WiFi (Bytes)#Device","Network Out - Data - Delta (Bytes)#Device","Network Out - Data (Bytes)#Device","CPU Total (%)#Device"
"1473723213465","2016-09-12:23-33-33","0","6568247","153037","215410876","17","152168","3","354604","2609728","1689442","3226903503","0","15317015","22"
"1473723214545","2016-09-12:23-33-34","0","6568247","160535","215418374","20","141892","9","349996","2620004","1807239","3227021300","0","15317015","32"
"1473723215595","2016-09-12:23-33-35","0","6568247","164249","215422088","21","133976","7","347952","2627920","1827711","3227041772","0","15317015","31"
"1473723216665","2016-09-12:23-33-36","0","6568247","164667","215422506","3","145692","1","339964","2616204","1828859","3227042920","0","15317015","6"
"1473723217725","2016-09-12:23-33-37","0","6568247","164709","215422548","2","144820","2","339964","2617076","1828933","3227042994","0","15317015","5"
"1473723218795","2016-09-12:23-33-38","0","6568247","164709","215422548","0","144712","0","339964","2617184","1828933","3227042994","0","15317015","2"
"1473724315897","2016-09-12:23-51-55","0","6570084","0","215600684","22","179104","29","251420","2582792","0","3228647182","0","15321343","55"
"1473724316946","2016-09-12:23-51-56","0","6570084","2090","215602774","14","176452","16","251324","2585444","730","3228647912","0","15321343","38"
"1473724317987","2016-09-12:23-51-57","0","6570084","5416","215606100","0","183832","0","243576","2578064","12060","3228659242","0","15321343","2"
"1473724319037","2016-09-12:23-51-59","0","6570084","6281","215606965","2","181384","1","244888","2580512","12322","3228659504","0","15321343","5"
"1473724320107","2016-09-12:23-52-00","0","6570084","8265","215608949","5","229588","4","247480","2532308","21940","3228669122","0","15321343","13"
"1473724321156","2016-09-12:23-52-01","0","6570084","14222","215614906","6","222164","4","253284","2539732","82968","3228730150","0","15321343","12"
"1473724322217","2016-09-12:23-52-02","0","6570084","18198","215618882","5","215916","1","257672","2545980","194009","3228841191","0","15321343","9"
"1473724323288","2016-09-12:23-52-03","0","6570084","33140","215633824","13","207064","3","257480","2554832","333978","3228981160","0","15321343","18"
"1473724324358","2016-09-12:23-52-04","0","6570084","40121","215640805","6","194628","2","268132","2567268","420261","3229067443","0","15321343","12"
"1473724325407","2016-09-12:23-52-05","0","6570084","55051","215655735","21","100188","10","262808","2661708","623153","3229270335","0","15321343","34"
"1473724326457","2016-09-12:23-52-06","0","6570084","65734","215666418","15","85980","6","260876","2675916","785067","3229432249","0","15321343","24"
"1473724327507","2016-09-12:23-52-07","0","6570084","70740","215671424","10","166500","14","262752","2595396","833537","3229480719","0","15321343","29"
"1473724328587","2016-09-12:23-52-08","0","6570084","75311","215675995","9","171760","5","267712","2590136","898587","3229545769","0","15321343","16"
"1473724329658","2016-09-12:23-52-09","0","6570084","76018","215676702","4","171668","4","267884","2590228","899747","3229546929","0","15321343","10"
"1473724330711","2016-09-12:23-52-10","0","6570084","81140","215681824","10","155880","7","282080","2606016","905038","3229552220","0","15321343","21"
"1473724331761","2016-09-12:23-52-11","0","6570084","88572","215689256","17","140260","10","291444","2621636","945922","3229593104","0","15321343","30"
"1473724332811","2016-09-12:23-52-12","0","6570084","92681","215693365","6","135388","3","292276","2626508","978925","3229626107","0","15321343","10"
"1473724333881","2016-09-12:23-52-13","0","6570084","95251","215695935","20","140620","9","291572","2621276","990302","3229637484","0","15321343","32"
"1473724334941","2016-09-12:23-52-14","0","6570084","98731","215699415","6","141728","4","291044","2620168","1066607","3229713789","0","15321343","11"
"1473724336011","2016-09-12:23-52-16","0","6570084","98731","215699415","17","142180","7","287524","2619716","1066607","3229713789","0","15321343","26"
"1473724337070","2016-09-12:23-52-17","0","6570084","112940","215713624","12","132724","6","296948","2629172","1093456","3229740638","0","15321343","21"
"1473724338141","2016-09-12:23-52-18","0","6570084","125097","215725781","9","159788","4","296816","2602108","1356535","3230003717","0","15321343","16"
"1473724339211","2016-09-12:23-52-19","0","6570084","125163","215725847","2","176708","3","296888","2585188","1356535","3230003717","0","15321343","6"
"1473724340271","2016-09-12:23-52-20","0","6570084","125229","215725913","4","180384","2","296892","2581512","1356615","3230003797","0","15321343","7"
"1473724341350","2016-09-12:23-52-21","0","6570084","125823","215726507","2","180136","2","296880","2581760","1357048","3230004230","0","15321343","6"
"1473724342421","2016-09-12:23-52-22","0","6570084","125955","215726639","5","185732","2","291644","2576164","1357104","3230004286","0","15321343","9"
"1473724343491","2016-09-12:23-52-23","0","6570084","126087","215726771","2","185800","2","291648","2576096","1357104","3230004286","0","15321343","6"
"1473724344561","2016-09-12:23-52-24","0","6570084","126153","215726837","3","185552","2","291944","2576344","1357104","3230004286","0","15321343","7"
"1473724345630","2016-09-12:23-52-25","0","6570084","127701","215728385","13","180836","10","293056","2581060","1357224","3230004406","0","15321343","24"
"1473724346680","2016-09-12:23-52-26","0","6570084","130124","215730808","7","178436","3","293804","2583460","1371316","3230018498","0","15321343","12"
"1473724347741","2016-09-12:23-52-27","0","6570084","134968","215735652","6","173328","2","295148","2588568","1473887","3230121069","0","15321343","10"
"1473724348801","2016-09-12:23-52-28","0","6570084","135298","215735982","13","166144","4","295484","2595752","1519486","3230166668","0","15321343","19"
"1473724349871","2016-09-12:23-52-29","0","6570084","140972","215741656","25","164552","10","293132","2597344","1578137","3230225319","0","15321343","38"
"1473724350941","2016-09-12:23-52-30","0","6570084","144905","215745589","21","163332","9","297948","2598564","1587690","3230234872","0","15321343","34"
"1473724352011","2016-09-12:23-52-32","0","6570084","145611","215746295","3","168776","2","292724","2593120","1589040","3230236222","0","15321343","6"
"1473724353081","2016-09-12:23-52-33","0","6570084","146438","215747122","2","167692","2","293260","2594204","1592026","3230239208","0","15321343","6"
"1473724354140","2016-09-12:23-52-34","0","6570084","147529","215748213","1","164004","1","296768","2597892","1592788","3230239970","0","15321343","3"
"1473724355191","2016-09-12:23-52-35","0","6570084","148986","215749670","8","148436","4","310100","2613460","1592871","3230240053","0","15321343","14"
"1473724356260","2016-09-12:23-52-36","0","6570084","149052","215749736","4","146788","1","310292","2615108","1592963","3230240145","0","15321343","7"
"1473724357340","2016-09-12:23-52-37","0","6570084","149052","215749736","0","146980","1","310380","2614916","1592963","3230240145","0","15321343","3"
"1473724358410","2016-09-12:23-52-38","0","6570084","152989","215753673","11","139236","3","310912","2622660","1628356","3230275538","0","15321343","17"
"1473724359480","2016-09-12:23-52-39","0","6570084","157598","215758282","21","143904","6","304916","2617992","1634363","3230281545","0","15321343","29"
"1473724360540","2016-09-12:23-52-40","0","6570084","165538","215766222","25","150584","12","293008","2611312","1783434","3230430616","0","15321343","40"
"1473724361600","2016-09-12:23-52-41","0","6570084","168124","215768808","16","140496","3","294164","2621400","1833978","3230481160","0","15321343","21"
"1473724362670","2016-09-12:23-52-42","0","6570084","172629","215773313","11","152180","5","287500","2609716","1847130","3230494312","0","15321343","17"
